"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"B6","SFO","LAS","JFK","25","10","2","19"
"AS","SFO","SEA","JFK","-5","-12","10","-30"
"B6","SFO","BOS","JFK","10","-1","0","-6"
"B6","SFO","BOS","JFK","10","-1","-2","2"
"AA","SFO","DFW","JFK","-5","-20","5","-1"
"B6","SFO","LAS","JFK","-5","-29","-5","-17"
"B6","SFO","BOS","JFK","-6","-10","3","3"
"DL","SFO","LAX","JFK","-3","24","17","5"
"AA","SFO","CLT","JFK","0","42","7","29"
"DL","SFO","LAX","JFK","13","41","-3","-21"
"DL","SFO","LAX","JFK","22","19","-3","-21"
"AA","SFO","CLT","JFK","27","18","15","8"
"DL","SFO","LAX","JFK","78","88","36","10"
"DL","SFO","LAX","JFK","94","105","14","-6"
"AS","SFO","SEA","JFK","11","9","-3","-18"
"DL","SFO","LAX","JFK","22","68","14","-6"
"B6","SFO","LAS","JFK","143","133","7","13"
"AS","SFO","SEA","JFK","-12","-2","-3","-18"
"VX","SFO","LAS","JFK","47","54","0","-14"
"DL","SFO","LAX","JFK","91","86","0","-9"
"AA","SFO","CLT","JFK","-1","-10","14","13"
"DL","SFO","MSP","JFK","23","24","-4","0"
"AA","SFO","CLT","JFK","-5","-18","0","5"
"AA","SFO","ORD","JFK","-6","-8","8","35"
"AA","SFO","DFW","JFK","-3","-25","14","1"
"DL","SFO","MSP","JFK","-1","-4","0","-18"
"AA","SFO","CLT","JFK","-2","5","-1","-7"
"AA","SFO","ORD","JFK","7","1","90","88"
"AA","SFO","DFW","JFK","-7","-26","46","63"
"DL","SFO","SLC","JFK","-6","-18","-2","0"
"B6","SFO","BOS","JFK","-7","-12","0","13"
"DL","SFO","LAX","JFK","-3","6","9","-15"
"AA","SFO","ORD","JFK","17","8","11","24"
"AA","SFO","DFW","JFK","15","-1","21","21"
"DL","SFO","LAX","JFK","13","1","7","-23"
"AA","SFO","ORD","JFK","1","-8","11","24"
"AA","SFO","CLT","JFK","-8","0","5","32"
"B6","SFO","BOS","JFK","-3","-22","20","18"
"DL","SFO","LAX","JFK","-3","-11","-3","-6"
"DL","SFO","LAX","JFK","-3","-11","7","-23"
"AS","SFO","SEA","JFK","-11","-15","-3","-2"
"DL","SFO","LAX","JFK","-4","-19","-2","-15"
"DL","SFO","LAX","JFK","-4","-19","1","-26"
"DL","SFO","LAX","JFK","-1","1","-2","-15"
"B6","SFO","BOS","JFK","-3","-8","7","15"
"AA","SFO","CLT","JFK","-2","-10","-3","-20"
"AA","SFO","CLT","JFK","-7","-21","-2","-14"
"AA","SFO","ORD","JFK","-3","-6","16",
"AA","SFO","DFW","JFK","-8","-21","3",
"B6","SFO","LAS","JFK","-4","-20","5","9"
"B6","SFO","BOS","JFK","-7","-15","50","65"
"B6","SFO","BOS","JFK","-7","-15","242","252"
"DL","SFO","LAX","JFK","-5","24","15","7"
"DL","SFO","LAX","JFK","-2","-6","15","7"
"AA","SFO","ORD","JFK","13","24","31","57"
"AA","SFO","DFW","JFK","-6","-3","-1","17"
"DL","SFO","LAX","JFK","26","33","-2","7"
"AA","SFO","ORD","JFK","-4","-24","31","57"
"AA","SFO","CLT","JFK","-5","-15","8","17"
"DL","SFO","LAX","JFK","-3","-3","-1","-4"
"AA","SFO","CLT","JFK","12","4","13","2"
"DL","SFO","LAX","JFK","133","136","4","-1"
"AS","SFO","SEA","JFK","-8","-11","8","-11"
"DL","SFO","LAX","JFK","28","7","-2","-6"
"B6","SFO","BOS","JFK","28","35","0","4"
"AA","SFO","CLT","JFK","-3","-13","-1","-27"
"DL","SFO","MSP","JFK","-5","-7","-5","-7"
"AA","SFO","CLT","JFK","6","13","8","-10"
"AA","SFO","ORD","JFK","-2","-7","-1","28"
"AA","SFO","DFW","JFK","8","7","53","50"
"DL","SFO","LAX","JFK","-4","25","4","1"
"B6","SFO","LAS","JFK","-5","-12","-2","3"
"DL","SFO","LAX","JFK","-6","-2","4","1"
"B6","SFO","BOS","JFK","-2","8","-2","-13"
"AA","SFO","ORD","JFK","4","9","25","14"
"AA","SFO","CLT","JFK","80","91","2","-9"
"B6","SFO","LGB","JFK","202","194","6","10"
"DL","SFO","LAX","JFK","147","164","14","4"
"DL","SFO","LAX","JFK","147","164","-2","-13"
"AS","SFO","SEA","JFK","35","26","-3","-8"
"DL","SFO","LAX","JFK","90","97","-2","-13"
"B6","SFO","LAS","JFK","98","87","17","25"
"VX","SFO","LAS","JFK","88","90","102","100"
"DL","SFO","LAX","JFK","89","80","0","-15"
"DL","SFO","LAX","JFK","89","80","14","4"
"AA","SFO","CLT","JFK","0","-1","-4","-14"
"AA","SFO","CLT","JFK","0","-1","0","-2"
"AA","SFO","CLT","JFK","0","3","-4","-14"
"AA","SFO","ORD","JFK","3","-14","-2","2"
"AA","SFO","DFW","JFK","-4","-20","0","-20"
"B6","SFO","LAS","JFK","-1","-12","0","-3"
"B6","SFO","BOS","JFK","1","21","-2","-5"
"B6","SFO","BOS","JFK","1","21","-6","-7"
"DL","SFO","LAX","JFK","47","40","-2","-9"
"DL","SFO","LAX","JFK","-5","-9","-2","-9"
"AA","SFO","ORD","JFK","-7","-28","-7","-1"
"AA","SFO","DFW","JFK","-4","-20","-1","-2"
"DL","SFO","LAX","JFK","-2","-9","33","1"
"AA","SFO","ORD","JFK","-5","-26","-7","-1"
"AA","SFO","CLT","JFK","-4","-11","-2","29"
"DL","SFO","LAX","JFK","-1","-8","-7","-22"
"DL","SFO","LAX","JFK","-1","-8","33","1"
"AS","SFO","SEA","JFK","-5","4","-9","-16"
"DL","SFO","LAX","JFK","19","12","-5","16"
"B6","SFO","LAS","JFK","15","8","-6","-5"
"AS","SFO","SEA","JFK","-15","-10","-9","-16"
"VX","SFO","LAS","JFK","12","11","-8","3"
"DL","SFO","LAX","JFK","10","3","-7","-8"
"DL","SFO","LAX","JFK","2","-13","-9","-9"
"DL","SFO","LAX","JFK","2","-13","-7","-8"
"DL","SFO","LAX","JFK","16","9","-9","-9"
"B6","SFO","BOS","JFK","-5","3","-7","-17"
"B6","SFO","BOS","JFK","-5","3","-10","-14"
"DL","SFO","MSP","JFK","-4","-20","2","-11"
"AA","SFO","CLT","JFK","-5","-19","2","-11"
"AA","SFO","DFW","JFK","-7","-2","19","9"
"B6","SFO","LAS","JFK","1","-15","-2","0"
"DL","SFO","LAX","JFK","-4","-11","-3","16"
"AA","SFO","ORD","JFK","5","-11","-7","-11"
"AA","SFO","DFW","JFK","-7","-27","-3","6"
"AA","SFO","ORD","JFK","-2","-22","-7","-11"
"DL","SFO","LAX","JFK","2","10","64","47"
"AA","SFO","CLT","JFK","11","-5","3","7"
"AS","SFO","SEA","JFK","-4","-3","0","-23"
"B6","SFO","LAS","JFK","7","-11","-7","-12"
"AS","SFO","SEA","JFK","-16","-26","0","-23"
"VX","SFO","LAS","JFK","-5","-15","-1","-6"
"B6","SFO","BOS","JFK","-5","-6","-3","-9"
"B6","SFO","BOS","JFK","-5","-6","-10","-26"
"AA","SFO","DFW","JFK","-7","-21","-4","-20"
"B6","SFO","LAS","JFK","24","13","2","-5"
"B6","SFO","BOS","JFK","4","1","10","-2"
"DL","SFO","LAX","JFK","-1","-3","9","-4"
"DL","SFO","LAX","JFK","-3","5","9","-4"
"AA","SFO","ORD","JFK","1","-1","-2","-11"
"AA","SFO","DFW","JFK","-3","-11","-4","-8"
"DL","SFO","LAX","JFK","88","77","-1","-2"
"AA","SFO","CLT","JFK","16","5","-5","-4"
"DL","SFO","LAX","JFK","58","60","-1","-2"
"AS","SFO","SEA","JFK","58","60","6","-15"
"DL","SFO","LAX","JFK","3","18","-6","7"
"B6","SFO","LAS","JFK","62","46","-2","-11"
"AS","SFO","SEA","JFK","18","21","6","-15"
"VX","SFO","LAS","JFK","25","32","56","50"
"DL","SFO","LAX","JFK","43","28","-6","3"
"DL","SFO","LAX","JFK","43","28","-3","-5"
"DL","SFO","LAX","JFK","12","13","-6","3"
"DL","SFO","LAX","JFK","12","13","-3","-5"
"B6","SFO","BOS","JFK","7","3","-1","-5"
"AA","SFO","CLT","JFK","-5","-14","30","41"
"DL","SFO","MSP","JFK","-3","-15","-2","-6"
"AA","SFO","CLT","JFK","-10","-14","3","-7"
"AA","SFO","ORD","JFK","1","4","19","19"
"AA","SFO","DFW","JFK","-6","-11","2","-1"
"B6","SFO","BOS","JFK","5","18","-6","-13"
"B6","SFO","BOS","JFK","5","18","2","1"
"DL","SFO","LAX","JFK","39","27","4","18"
"AA","SFO","ORD","JFK","0","0","-9","-18"
"AA","SFO","DFW","JFK","0","-4","-4","3"
"DL","SFO","LAX","JFK","-2","-6","-11","-9"
"AA","SFO","ORD","JFK","-6","-18","-9","-18"
"DL","SFO","LAX","JFK","18","16","-11","-4"
"AA","SFO","ORD","JFK","-5","-29","0","-16"
"AA","SFO","CLT","JFK","0","-6","0","13"
"DL","SFO","LAX","JFK","66","81","26","-2"
"AA","SFO","CLT","JFK","20","24","95","79"
"DL","SFO","LAX","JFK","128","127","12","7"
"B6","SFO","LAS","JFK","88","88","15","16"
"DL","SFO","LAX","JFK","166","161","-3","-9"
"DL","SFO","LAX","JFK","166","161","29","8"
"B6","SFO","BOS","JFK","76","58","0","-7"
"AA","SFO","CLT","JFK","26","24","-1","6"
"AA","SFO","ORD","JFK","0","-9","2","-9"
"AA","SFO","DFW","JFK","14","-2","9","1"
"DL","SFO","LAX","JFK","-2","-17","0","-34"
"DL","SFO","LAX","JFK","241","224","75","54"
"B6","SFO","BOS","JFK","-3","-18","1","-8"
"B6","SFO","LAS","JFK","-1","5","-1","-9"
"DL","SFO","LAX","JFK","-3","-2","41","19"
"AA","SFO","ORD","JFK","18","2","23","21"
"AA","SFO","CLT","JFK","18","23","0","3"
"DL","SFO","LAX","JFK","103","120","28","3"
"DL","SFO","LAX","JFK","183","196","17","16"
"DL","SFO","LAX","JFK","183","196","6","9"
"DL","SFO","LAX","JFK","113","139","17","16"
"VX","SFO","LAS","JFK","5","0","79","97"
"B6","SFO","BOS","JFK","177","184","-7","-13"
"AA","SFO","CLT","JFK","209","190","33","44"
"DL","SFO","LAX","JFK","16","34","40","33"
"DL","SFO","LAX","JFK","11","24","55","35"
"B6","SFO","BOS","JFK","-3","-9","31","20"
"AA","SFO","CLT","JFK","169","181","6","-4"
"AA","SFO","ORD","JFK","25","-2","-2","38"
"DL","SFO","LAX","JFK","0","17","68","40"
"AA","SFO","DFW","JFK","-5","-16","24","14"
"AA","SFO","ORD","JFK","1","-31","-2","38"
"AA","SFO","CLT","JFK","32","33","6","-4"
"DL","SFO","LAX","JFK","55","55","15","4"
"B6","SFO","LAS","JFK","185","176","1",
"DL","SFO","LAX","JFK","75","52","-1","4"
"DL","SFO","LAX","JFK","75","52","33","30"
"DL","SFO","LAX","JFK","9","1","-1","4"
"B6","SFO","BOS","JFK","28","13","-5","-8"
"AA","SFO","CLT","JFK","19","42","28","27"
"AA","SFO","CLT","JFK","-1","-6","28","27"
"AA","SFO","ORD","JFK","-1","-3","18","28"
"AA","SFO","DFW","JFK","-2","-33","33","70"
"DL","SFO","LAX","JFK","32","18","12","9"
"AA","SFO","DFW","JFK","56","62","58","162"
"AA","SFO","ORD","JFK","9","-4","8","108"
"DL","SFO","LAX","JFK","-4","9","2","26"
"DL","SFO","LAX","JFK","-4","9","17","10"
"AA","SFO","DFW","JFK","-2","-28","58","162"
"AA","SFO","DFW","JFK","22","14","58","162"
"AA","SFO","CLT","JFK","-3","-9","74","86"
"B6","SFO","BOS","JFK","101","107","195","204"
"B6","SFO","BOS","JFK","101","107","265","260"
"DL","SFO","LAX","JFK","69","78","16","20"
"AS","SFO","SEA","JFK","1","-4","32","2"
"VX","SFO","LAS","JFK","8","9","4","14"
"DL","SFO","LAX","JFK","23","28","16","20"
"B6","SFO","BOS","JFK","37","11","-4","-4"
"AA","SFO","CLT","JFK","-3","-34","20","31"
"AA","SFO","DFW","JFK","1","-16","-3","-10"
"AA","SFO","ORD","JFK","6","-28","177","153"
"DL","SFO","LAX","JFK","-3","-2","44","4"
"AA","SFO","ORD","JFK","5","-27","0","-17"
"AA","SFO","DFW","JFK","18","6","19","8"
"AA","SFO","ORD","JFK","9","-31","0","-17"
"DL","SFO","LAX","JFK","3","-3","42","15"
"DL","SFO","SLC","JFK","9","0","-4","-7"
"AS","SFO","SEA","JFK","-6","-21","7","-7"
"B6","SFO","BOS","JFK","26","-21","-1","-5"
"AA","SFO","CLT","JFK","-1","-22","27","12"
"AA","SFO","CLT","JFK","-1","-34","3","-4"
"AA","SFO","ORD","JFK","5","-18","0","-20"
"AA","SFO","DFW","JFK","-4","-23","0","-23"
"AA","SFO","DFW","JFK","5","-20","0","-23"
"DL","SFO","LAX","JFK","-1","-2","78","81"
"AA","SFO","CLT","JFK","-1","-9","95","87"
"B6","SFO","BOS","JFK","-3","-37","6","-7"
"DL","SFO","MSP","JFK","11","-4","8","3"
"AA","SFO","ORD","JFK","-3","-29","-2","-15"
"AA","SFO","DFW","JFK","-5","-17","7","-13"
"AA","SFO","ORD","JFK","-3","-43","-2","-15"
"AA","SFO","CLT","JFK","-2","-22","-1","-5"
"DL","SFO","LAX","JFK","-2","-8","121","90"
"AA","SFO","CLT","JFK","10","2","37","27"
"VX","SFO","LAS","JFK","-3","13","-8","-36"
"DL","SFO","LAX","JFK","68","56","1","-14"
"B6","SFO","BOS","JFK","4","-15","9","6"
"AA","SFO","CLT","JFK","-2","13","-1","15"
"AA","SFO","CLT","JFK","-2","13","2","9"
"AA","SFO","DFW","JFK","-2","25","35","31"
"DL","SFO","LAX","JFK","5","-11","7","12"
"B6","SFO","LAS","JFK","-1","-1","11","10"
"AA","SFO","DFW","JFK","-2","38","-3","93"
"DL","SFO","LAX","JFK","-5","-12","29","34"
"AA","SFO","CLT","JFK","-8","10","56","53"
"DL","SFO","LAX","JFK","16","15","0","-8"
"AS","SFO","SEA","JFK","-9","-10","-1","-26"
"B6","SFO","LAS","JFK","2","9","-2","0"
"AS","SFO","SEA","JFK","-5","-20","-1","-26"
"VX","SFO","LAS","JFK","10","13","-5","-10"
"B6","SFO","LGB","JFK","-6","-14","11","19"
"B6","SFO","BOS","JFK","20","23","1","8"
