"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"DL","SFO","ATL","JFK","20","9","-1","-12"
"AA","SFO","MIA","JFK","539","534","0","-7"
"AA","SFO","PHX","JFK","-5","-23","-3","-17"
"DL","SFO","ATL","JFK","-2","-14","12","-6"
"AA","SFO","MIA","JFK","0","6","-5","1"
"VX","SFO","LAX","JFK","-5","-8","1","-7"
"DL","SFO","ATL","JFK","-1","-17","17","20"
"VX","SFO","LAX","JFK","-7","16","1","-7"
"DL","SFO","ATL","JFK","5","-13","17","20"
"AA","SFO","PHX","JFK","-7","-2","-2","8"
"AA","SFO","LAX","JFK","-4","13","-7","-22"
"AA","SFO","LAX","JFK","-4","13","3","-7"
"B6","SFO","FLL","JFK","55","67","5","-5"
"VX","SFO","LAX","JFK","3","5","-1","-15"
"DL","SFO","ATL","JFK","19","-8","-4","-19"
"AA","SFO","PHX","JFK","-4","12","-5","-29"
"VX","SFO","LAX","JFK","-3","-4","-1","-15"
"AA","SFO","LAX","JFK","25","22","40","35"
"AA","SFO","LAX","JFK","25","22","4","-15"
"VX","SFO","LAX","JFK","-5","0","1","-30"
"AA","SFO","LAX","JFK","2","-1","-7","22"
"AA","SFO","LAX","JFK","2","-1","40","35"
"AA","SFO","LAX","JFK","-3","8","-7","22"
"AA","SFO","LAX","JFK","-3","8","40","35"
"DL","SFO","ATL","JFK","74","56","3","7"
"DL","SFO","ATL","JFK","-1","-20","2","-1"
"AA","SFO","PHX","JFK","-3","-8","1","15"
"AA","SFO","MIA","JFK","0","-16","-6","15"
"VX","SFO","LAX","JFK","0","-6","-4","-53"
"DL","SFO","ATL","JFK","5","-12","0","-2"
"VX","SFO","LAX","JFK","-5","-12","-4","-53"
"DL","SFO","ATL","JFK","2","-27","0","-2"
"AA","SFO","PHX","JFK","99","95","-2","-19"
"AA","SFO","LAX","JFK","62","71","22","7"
"B6","SFO","FLL","JFK","-1","-7","-13","-4"
"B6","SFO","FLL","JFK","-1","-7","-5","2"
"VX","SFO","LAX","JFK","-4","7","-3","-20"
"VX","SFO","LAX","JFK","-4","7","49","12"
"DL","SFO","DTW","JFK","2","-23","1","-15"
"DL","SFO","ATL","JFK","1","-19","-2","7"
"AA","SFO","PHX","JFK","2","7","-2","-19"
"VX","SFO","LAX","JFK","-1","10","-3","-20"
"AA","SFO","PHX","JFK","-6","-14","-1","-30"
"AA","SFO","LAX","JFK","3","-2","-2","-15"
"AA","SFO","LAX","JFK","3","-2","-1","-17"
"VX","SFO","LAX","JFK","30","20","0","-16"
"VX","SFO","LAX","JFK","-4","-15","0","-16"
"AA","SFO","LAX","JFK","6","-1","-1","-15"
"VX","SFO","LAX","JFK","-1","-6","0","-16"
"B6","SFO","FLL","JFK","-5","15","-3","7"
"DL","SFO","ATL","JFK","6","11","-3","5"
"AA","SFO","PHX","JFK","2","-8","10","-22"
"DL","SFO","ATL","JFK","-2","-10","3","2"
"AA","SFO","MIA","JFK","-2","-9","-8","-16"
"VX","SFO","LAX","JFK","-3","-3","1","-30"
"AA","SFO","LAX","JFK","-5","-19","-3","-20"
"VX","SFO","LAX","JFK","-4","-20","1","-30"
"DL","SFO","ATL","JFK","0","-11","-3","-25"
"AA","SFO","PHX","JFK","-8","-15","-3","-43"
"AA","SFO","LAX","JFK","5","-8","-4","-7"
"AA","SFO","LAX","JFK","5","-8","-2","-12"
"B6","SFO","FLL","JFK","-3","-3","15","15"
"B6","SFO","FLL","JFK","-3","-3","-1","-3"
"DL","SFO","DTW","JFK","-6","-15","0","-17"
"VX","SFO","LAX","JFK","-6","-16","12","-11"
"DL","SFO","ATL","JFK","-3","-13","0","-19"
